,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
70,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Rheinfelder Bierhalle,47.37587781175152,8.544000362309827,Swiss Restaurant
71,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Neumarkt,47.37297203824094,8.547122277956674,Flea Market
72,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Neumarkt 17 AG,47.37286836051818,8.54612106530701,Furniture / Home Store
73,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,"focusTerra, ETH Zürich",47.37823070849614,8.547437520339665,Science Museum
74,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Coop,47.37675990128012,8.542255735290562,Supermarket
75,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Johanniter Brasserie,47.37575536605059,8.543974823903133,Swiss Restaurant
76,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Didis Frieden,47.379133100073325,8.543446235532612,Swiss Restaurant
77,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Wirtschaft Neumarkt,47.372711439656534,8.545639795288643,Swiss Restaurant
78,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,VBZ Central,47.37678304559612,8.543663113344133,Tram Station
79,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Central,47.376676960018216,8.543738685895935,Plaza
80,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Barfüsser,47.373601371158735,8.544590969733397,Sushi Restaurant
81,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Mohrenkopf,47.37450941470433,8.543806641541575,Café
82,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Cupcake Affair,47.37357576065651,8.544368862657631,Cupcake Shop
83,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Wystube Isebähnli,47.37319471200984,8.544796473124574,Mediterranean Restaurant
84,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Titolo,47.373184949896256,8.54394289846461,Shoe Store
85,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Rechberggarten,47.37321036297057,8.548383226554993,Garden
86,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Central Plaza,47.37706702061634,8.543657042965396,Hotel
87,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Müller Optik,47.374249531811806,8.543521353560275,Optical Shop
88,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Louis Take Away,47.37303663059901,8.543775632276052,Diner
89,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Orient Catering,47.37895608397649,8.544710238158048,Middle Eastern Restaurant
90,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Spaghetti Factory Rosenhof,47.37295200649502,8.54371052071147,Italian Restaurant
91,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Kantorei,47.372557498474045,8.545731427657769,Diner
92,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Romantik Hotel Florhof,47.372253624347486,8.548731147710187,Hotel
93,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Hotel Wellenberg,47.373159048857204,8.543913845870804,Hotel
94,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Kon-tiki,47.37387188045982,8.54365838864331,Bar
95,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Café Zähringer,47.37371472268776,8.544843226572086,Café
96,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Swiss Chuchi,47.37320329427597,8.543803110917668,Swiss Restaurant
97,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Brasserie Louis,47.373129484915246,8.543798499978214,French Restaurant
98,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,PiadinA Bar,47.37287233394434,8.543923877617608,Sandwich Place
99,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Restaurant Haldenbach,47.37990093107615,8.54705237797001,Restaurant
100,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Bombay - Karachi,47.379251350961006,8.543315255402577,Indian Restaurant
101,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Hirschenplatz,47.37326650671113,8.543818449117122,Plaza
102,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Hot Pasta,47.37867004787092,8.547983737925266,Italian Restaurant
103,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376453399999995,8.54770931489751,Bianchi,47.37353567745352,8.542863072041442,Italian Restaurant
